id,id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
931,351,1,1.46,109,2010-02-25
940,352,1,0.48,90,2011-01-17
949,354,1,0.92,180,2010-04-14
950,354,1,0.97,500,2011-02-15
961,355,1,0.8,39,2010-05-12
970,359,1,0.54,80,2011-02-24
976,360,1,0.29,100,2011-02-03
984,366,1,0.36,120,2011-02-16
986,369,1,0.42,120,2011-02-19
990,370,1,0.97,175,2010-04-14
992,371,1,0.28,80,2011-03-12
999,375,1,0.42,100,2011-02-15
1002,376,1,0.13,100,2011-02-03
1008,378,1,0.13,60,2011-02-20
1020,381,1,0.97,180,2011-03-17
1024,382,1,0.49,150,2011-03-09
1043,390,1,1.8,10,2011-02-24
1045,391,1,0.36,105,2011-02-03
1053,396,1,0.82,280,2011-02-02
1061,401,1,0.5,120,2011-02-18
1063,402,1,0.21,180,2011-02-22
1069,404,1,0.55,180,2011-03-02
1076,405,1,0.55,200,2011-02-16
1083,408,1,0.24,80,2011-02-23
1085,411,1,0.32,100,2011-03-10
1096,416,1,0.28,120,2011-02-15
1112,422,1,0.55,140,2011-02-25
1116,424,1,0.19,10,2011-02-15
1120,426,1,0.23,30,2011-02-15
1130,429,1,0.5,160,2011-03-02
1138,434,1,0.95,120,2011-03-11
1144,434,1,0.8,56,2010-04-15
1158,442,1,0.73,40,2011-02-16
1179,447,1,0.57,200,2011-02-15
1195,451,1,0.53,140,2011-02-23
1199,451,1,0.43,40,2010-02-13
1203,455,1,0.21,60,2011-02-15
1212,460,1,0.45,33,2010-04-08
1217,460,1,0.47,500,2011-02-02
1220,462,1,0.17,60,2011-02-18
1223,463,1,0.45,80,2011-02-23
1229,465,1,0.92,280,2011-02-02
1233,466,1,0.92,275,2011-02-02
1259,486,1,0.59,200,2011-02-08
1262,487,1,0.61,150,2011-02-22
1271,490,1,0.46,235,2011-02-02
1292,495,1,0.38,30,2011-02-02
1297,496,1,0.88,200,2011-02-15
1302,497,1,0.88,175,2011-01-20
1307,500,1,0.22,80,2011-02-21
1318,501,1,1.55,320,2011-02-16
1319,501,1,1.2,187,2010-04-11
1324,503,1,0.47,15,2011-02-25
1329,505,1,0.52,40,2011-02-17
1336,507,1,0.58,80,2011-02-03
1342,509,1,0.28,50,2011-02-02
1349,511,1,0.73,500,2011-02-02
1352,514,1,0.4,80,2011-02-02
1364,517,1,0.76,14,2010-04-09
1370,518,1,0.38,90,2011-03-22
1373,523,1,0.59,180,2011-02-22
1388,534,1,0.32,400,2011-01-29
1392,536,1,0.49,120,2011-03-17
29,5,2,0.44,20,2011-02-15
81,29,2,1.97,120,2011-02-02
96,36,2,0.8,20,2011-02-02
122,45,2,0.72,5,2010-04-18
201,67,2,0.54,20,2011-02-03
254,85,2,0.88,50,2011-02-02
272,94,2,0.28,10,2011-03-10
316,103,2,0.79,7,2010-03-23
333,110,2,0.8,18,2011-02-05
361,114,2,0.44,15,2011-02-03
363,115,2,0.41,15,2011-02-17
403,134,2,0.72,12,2010-04-15
506,177,2,0.95,15,2011-02-25
570,203,2,0.12,10,2011-02-15
621,216,2,0.39,10,2011-02-15
653,233,2,0.3,15,2011-02-05
695,259,2,0.48,25,2011-02-25
704,262,2,0.37,15,2011-02-03
724,271,2,0.75,8,2010-04-11
735,271,2,1.2,25,2011-02-03
765,278,2,0.5,20,2011-03-02
782,289,2,0.59,3,2010-04-12
795,295,2,0.46,15,2011-02-25
826,310,2,0.38,15,2011-02-16
891,335,2,0.98,20,2011-02-02
915,342,2,0.65,18,2011-03-17
930,351,2,1.46,8,2010-02-25
946,354,2,0.97,24,2011-02-15
948,354,2,0.92,1,2010-04-14
1019,381,2,0.97,30,2011-03-17
1025,382,2,0.49,72,2011-03-09
1052,396,2,0.82,30,2011-02-02
1074,405,2,0.55,12,2011-02-16
1133,429,2,0.5,30,2011-03-02
1142,434,2,0.8,15,2010-04-15
1143,434,2,0.95,10,2011-03-11
1175,447,2,0.57,35,2011-02-15
1228,465,2,0.92,15,2011-02-02
1234,466,2,0.92,10,2011-02-02
1275,490,2,0.46,10,2011-02-02
1298,497,2,0.88,45,2011-01-20
1316,501,2,1.55,20,2011-02-16
1356,514,2,0.4,10,2011-02-02
1362,517,2,0.76,3,2010-04-09
1396,536,2,0.49,10,2011-03-17
10,1,3,0.4,146.4,2010-04-12
62,23,3,0.5,13.2,2010-05-04
71,29,3,0.8,203.4,2010-04-12
175,65,3,0.5,172.2,2010-04-07
198,67,3,0.5,96.6,2010-04-09
203,69,3,0.5,107.4,2010-02-26
218,71,3,0.5,160.8,2010-04-09
232,77,3,0.9,39.6,2010-04-09
280,96,3,0.5,17.4,2010-05-04
358,114,3,0.5,208.8,2010-04-07
515,174,3,0.7,88.2,2010-04-08
646,233,3,0.5,26.4,2010-04-06
694,259,3,0.5,7.8,2010-04-07
732,271,3,0.75,100.8,2010-04-11
755,277,3,0.9,60.6,2010-05-02
828,310,3,0.5,11.4,2010-04-08
886,335,3,0.5,132,2010-05-04
958,355,3,0.8,23.4,2010-05-12
1148,434,3,0.8,33.6,2010-04-15
1211,460,3,0.45,19.8,2010-04-08
1314,501,3,1.2,112.2,2010-04-11
960,355,4,0.8,15,2010-05-12
1312,501,4,1.55,90,2011-02-16
1,1,5,0.4,50,2010-04-12
11,1,5,0.4,60,2011-02-02
13,2,5,0.22,60,2011-02-09
22,3,5,0.13,200,2011-03-09
24,4,5,0.56,30,2011-02-24
27,5,5,0.44,60,2011-02-15
33,6,5,0.22,120,2011-02-07
39,8,5,0.33,140,2011-02-15
47,11,5,0.44,50,2011-02-15
65,23,5,0.5,23,2010-05-04
69,27,5,0.49,120,2011-02-15
75,29,5,1.97,120,2011-02-02
82,29,5,0.8,20,2010-04-12
90,32,5,0.17,20,2011-02-03
93,36,5,0.8,60,2011-02-02
103,37,5,0.38,180,2011-02-15
109,40,5,0.72,110,2011-02-25
113,43,5,0.31,140,2011-02-17
128,45,5,0.72,12,2010-04-18
142,48,5,0.52,25,2010-04-01
148,49,5,0.89,20,2010-03-30
161,53,5,0.21,140,2011-03-04
165,57,5,0.58,60,2011-02-17
179,65,5,0.26,60,2011-02-17
183,65,5,0.5,15,2010-04-07
190,67,5,0.5,10,2010-04-09
195,67,5,0.54,120,2011-02-03
207,69,5,0.5,40,2010-02-26
209,69,5,0.51,120,2011-02-02
220,71,5,0.5,40,2010-04-09
227,77,5,0.9,40,2010-04-09
240,81,5,0.42,50,2011-02-17
244,83,5,0.25,60,2011-02-18
253,84,5,1.31,30,2010-02-10
260,85,5,0.88,120,2011-02-02
263,89,5,0.43,120,2011-01-26
267,93,5,0.25,70,2011-03-04
273,94,5,0.28,30,2011-03-10
276,96,5,1.29,60,2011-02-23
285,96,5,0.5,30,2010-05-04
293,97,5,0.29,30,2011-02-16
297,98,5,0.52,70,2011-02-06
301,99,5,0.44,60,2011-02-07
310,101,5,0.39,65,2011-02-26
314,103,5,0.79,30,2010-03-23
325,105,5,0.46,95,2011-02-15
335,110,5,0.8,120,2011-02-05
340,111,5,0.72,150,2011-02-02
344,112,5,0.46,110,2011-02-15
349,113,5,0.4,60,2011-02-05
356,114,5,0.44,135,2011-02-03
357,114,5,0.5,20,2010-04-07
365,115,5,0.41,60,2011-02-17
385,118,5,0.52,60,2011-02-15
389,121,5,0.23,40,2011-02-21
395,125,5,0.48,40,2011-03-20
405,134,5,0.72,134,2010-04-15
409,135,5,0.5,50,2011-02-03
420,145,5,1.01,170,2011-02-24
423,147,5,0.26,30,2011-02-03
430,148,5,0.36,180,2011-02-02
437,155,5,0.18,60,2011-02-15
446,160,5,0.29,80,2011-02-22
448,160,5,0.78,15,2010-04-29
450,162,5,0.98,14,2010-04-13
470,165,5,0.36,25,2010-04-29
471,165,5,0.34,90,2011-02-26
516,174,5,0.7,35,2010-04-08
521,174,5,0.44,180,2011-02-03
498,175,5,0.31,120,2011-02-15
507,177,5,0.95,120,2011-02-25
525,181,5,0.47,130,2011-02-16
529,184,5,0.38,150,2011-02-19
540,188,5,0.24,115,2011-02-24
554,198,5,0.43,65,2011-02-15
567,203,5,0.12,25,2011-02-15
574,204,5,0.96,63,2010-04-12
588,205,5,0.78,41,2010-03-30
591,206,5,0.43,120,2011-01-26
597,207,5,0.46,50,2011-02-02
605,208,5,1.02,180,2011-02-13
609,210,5,0.5,120,2011-03-22
612,213,5,0.17,30,2011-02-15
619,216,5,0.39,120,2011-02-15
632,219,5,0.26,60,2011-02-21
649,233,5,0.3,70,2011-02-05
661,239,5,0.45,300,2011-02-25
667,247,5,0.16,30,2011-03-10
671,250,5,0.48,100,2011-02-15
677,254,5,0.98,38,2010-04-16
681,257,5,0.55,170,2011-02-03
693,259,5,0.48,60,2011-02-25
703,261,5,0.38,30,2011-03-22
708,262,5,0.37,75,2011-02-03
713,263,5,0.49,120,2011-02-19
716,266,5,0.65,80,2011-02-10
722,270,5,0.37,60,2011-02-21
733,271,5,0.75,40,2010-04-11
739,271,5,1.2,360,2011-02-03
744,272,5,0.37,240,2011-02-21
748,273,5,0.97,90,2011-02-17
750,275,5,0.41,190,2011-02-17
753,277,5,0.9,20,2010-05-02
761,278,5,0.5,60,2011-03-02
766,279,5,0.2,10,2011-02-15
773,285,5,0.18,90,2011-02-04
776,286,5,0.62,80,2011-02-18
781,287,5,0.28,240,2011-02-24
786,289,5,0.59,10,2010-04-12
793,292,5,0.47,45,2011-02-05
801,295,5,0.46,45,2011-02-25
805,297,5,0.58,60,2011-02-18
811,301,5,0.1,15,2011-03-11
812,303,5,0.13,40,2011-02-24
817,304,5,0.22,80,2011-02-03
823,305,5,0.38,60,2011-02-22
832,310,5,0.5,30,2010-04-08
836,310,5,0.38,60,2011-02-16
840,311,5,0.43,45,2011-03-02
843,312,5,0.21,70,2011-02-17
847,315,5,0.43,240,2011-02-21
851,316,5,0.11,90,2011-03-02
871,325,5,0.45,170,2011-02-23
889,335,5,0.98,195,2011-02-02
890,335,5,0.5,30,2010-05-04
905,337,5,0.21,60,2011-02-03
908,339,5,0.23,20,2011-02-03
911,342,5,0.65,120,2011-03-17
920,347,5,0.33,140,2011-02-24
922,348,5,0.88,190,2011-01-25
924,349,5,0.81,45,2011-02-15
933,351,5,1.46,120,2010-02-25
941,352,5,0.48,140,2011-01-17
944,354,5,0.97,3,2011-02-15
952,354,5,0.92,20,2010-04-14
959,355,5,0.8,20,2010-05-12
973,359,5,0.54,60,2011-02-24
977,360,5,0.29,30,2011-02-03
985,366,5,0.36,60,2011-02-16
987,369,5,0.42,135,2011-02-19
995,371,5,0.28,30,2011-03-12
1001,375,5,0.42,160,2011-02-15
1005,376,5,0.13,30,2011-02-03
1009,378,5,0.13,40,2011-02-20
1017,381,5,0.97,120,2011-03-17
1027,382,5,0.49,90,2011-03-09
1039,389,5,0.44,60,2011-03-22
1042,390,5,1.8,10,2011-02-24
1046,391,5,0.36,50,2011-02-03
1050,396,5,0.82,120,2011-02-02
1059,401,5,0.5,45,2011-02-18
1062,402,5,0.21,30,2011-02-22
1068,404,5,0.55,95,2011-03-02
1078,405,5,0.55,80,2011-02-16
1081,408,5,0.24,60,2011-02-23
1086,411,5,0.32,30,2011-03-10
1097,416,5,0.28,60,2011-02-15
1113,422,5,0.55,60,2011-02-25
1118,424,5,0.19,20,2011-02-15
1123,426,5,0.23,150,2011-02-15
1131,429,5,0.5,120,2011-03-02
1137,434,5,0.8,60,2010-04-15
1149,434,5,0.95,120,2011-03-11
1176,447,5,0.57,120,2011-02-15
1182,448,5,0.69,60,2011-01-25
1193,451,5,0.43,25,2010-02-13
1194,451,5,0.53,140,2011-02-23
1201,455,5,0.21,100,2011-02-15
1214,460,5,0.47,60,2011-02-02
1218,462,5,0.17,130,2011-02-18
1226,463,5,0.45,60,2011-02-23
1230,465,5,0.92,110,2011-02-02
1239,466,5,0.92,135,2011-02-02
1257,486,5,0.59,120,2011-02-08
1264,487,5,0.61,180,2011-02-22
1270,490,5,0.46,60,2011-02-02
1286,494,5,0.23,80,2011-02-23
1290,495,5,0.38,10,2011-02-02
1294,496,5,0.88,120,2011-02-15
1300,497,5,0.88,120,2011-01-20
1308,500,5,0.22,140,2011-02-21
1317,501,5,1.2,120,2010-04-11
1321,501,5,1.55,180,2011-02-16
1328,503,5,0.47,60,2011-02-25
1339,507,5,0.58,170,2011-02-03
1341,509,5,0.28,30,2011-02-02
1346,511,5,0.73,180,2011-02-02
1353,514,5,0.4,60,2011-02-02
1365,517,5,0.76,5,2010-04-09
1371,518,5,0.38,30,2011-03-22
1376,523,5,0.59,240,2011-02-22
1387,534,5,0.32,220,2011-01-29
1391,536,5,0.49,65,2011-03-17
9,1,6,0.4,10,2011-02-02
15,2,6,0.22,6,2011-02-09
28,5,6,0.44,10,2011-02-15
46,11,6,0.44,15,2011-02-15
51,12,6,0.48,15,2011-02-15
70,29,6,0.8,100,2010-04-12
73,29,6,1.97,250,2011-02-02
91,32,6,0.17,6,2011-02-03
98,36,6,0.8,40,2011-02-02
110,40,6,0.72,20,2011-02-25
127,45,6,0.72,2,2010-04-18
136,48,6,0.52,3,2010-04-01
152,49,6,0.89,4,2010-03-30
163,57,6,0.58,5,2011-02-17
200,67,6,0.54,15,2011-02-03
211,69,6,0.51,10,2011-02-02
216,71,6,0.5,15,2010-04-09
243,81,6,0.42,5,2011-02-17
245,83,6,0.25,30,2011-02-18
251,84,6,1.31,10,2010-02-10
259,85,6,0.88,60,2011-02-02
262,89,6,0.43,25,2011-01-26
266,93,6,0.25,19,2011-03-04
283,96,6,0.5,10,2010-05-04
292,97,6,0.29,15,2011-02-16
298,98,6,0.52,2,2011-02-06
303,99,6,0.44,15,2011-02-07
307,101,6,0.39,50,2011-02-26
309,101,6,0.72,20,2010-04-27
317,103,6,0.79,26,2010-03-23
326,105,6,0.46,15,2011-02-15
337,111,6,0.72,25,2011-02-02
346,113,6,0.4,15,2011-02-05
352,114,6,0.44,20,2011-02-03
367,115,6,0.41,15,2011-02-17
402,134,6,0.72,30,2010-04-15
424,147,6,0.26,10,2011-02-03
426,148,6,0.36,15,2011-02-02
439,155,6,0.18,10,2011-02-15
447,160,6,0.29,15,2011-02-22
452,162,6,0.98,5,2010-04-13
477,165,6,0.34,20,2011-02-26
520,174,6,0.7,25,2010-04-08
504,175,6,0.31,15,2011-02-15
551,195,6,0.29,7,2011-02-03
565,203,6,0.12,12,2011-02-15
580,204,6,0.96,10,2010-04-12
583,205,6,0.78,2,2010-03-30
594,206,6,0.43,25,2011-01-26
604,208,6,1.02,10,2011-02-13
606,210,6,0.5,10,2011-03-22
651,233,6,0.3,10,2011-02-05
658,239,6,0.45,100,2011-02-25
676,254,6,0.98,3,2010-04-16
698,259,6,0.5,6,2010-04-07
702,261,6,0.38,15,2011-03-22
706,262,6,0.37,10,2011-02-03
737,271,6,0.75,15,2010-04-11
740,271,6,1.2,20,2011-02-03
764,278,6,0.5,30,2011-03-02
774,285,6,0.18,20,2011-02-04
779,286,6,0.62,30,2011-02-18
791,292,6,0.47,10,2011-02-05
797,295,6,0.46,10,2011-02-25
809,301,6,0.1,3,2011-03-11
838,311,6,0.43,10,2011-03-02
848,315,6,0.43,20,2011-02-21
854,316,6,0.11,12,2011-03-02
870,325,6,0.45,15,2011-02-23
880,335,6,0.98,25,2011-02-02
903,337,6,0.21,6,2011-02-03
910,342,6,0.65,10,2011-03-17
918,347,6,0.33,8,2011-02-24
928,349,6,0.81,40,2011-02-15
945,354,6,0.92,8,2010-04-14
947,354,6,0.97,60,2011-02-15
981,366,6,0.36,20,2011-02-16
993,371,6,0.28,10,2011-03-12
1006,376,6,0.13,3,2011-02-03
1015,381,6,0.97,20,2011-03-17
1026,382,6,0.49,20,2011-03-09
1056,396,6,0.82,30,2011-02-02
1071,404,6,0.55,15,2011-03-02
1072,405,6,0.55,20,2011-02-16
1087,411,6,0.32,8,2011-03-10
1111,422,6,0.55,15,2011-02-25
1119,426,6,0.23,14,2011-02-15
1134,429,6,0.5,30,2011-03-02
1141,434,6,0.95,20,2011-03-11
1174,447,6,0.57,25,2011-02-15
1181,448,6,0.69,10,2011-01-25
1196,451,6,0.53,15,2011-02-23
1224,463,6,0.45,15,2011-02-23
1232,465,6,0.92,25,2011-02-02
1238,466,6,0.92,20,2011-02-02
1274,490,6,0.46,15,2011-02-02
1287,494,6,0.23,15,2011-02-23
1301,497,6,0.88,30,2011-01-20
1320,501,6,1.55,20,2011-02-16
1332,505,6,0.52,2,2011-02-17
1338,507,6,0.58,80,2011-02-03
1348,511,6,0.73,6,2011-02-02
1367,517,6,0.76,8,2010-04-09
1372,518,6,0.38,15,2011-03-22
1397,536,6,0.49,20,2011-03-17
77,29,7,1.97,15,2011-02-02
1022,382,7,0.49,10,2011-03-09
17,2,8,0.22,150,2011-02-09
55,12,8,0.48,200,2011-02-15
78,29,8,1.97,35,2011-02-02
189,67,8,0.54,70,2011-02-03
228,77,8,0.9,6,2010-04-09
248,83,8,0.25,100,2011-02-18
427,148,8,0.36,90,2011-02-02
616,213,8,0.17,20,2011-02-15
727,271,8,1.2,1000,2011-02-03
731,271,8,0.75,8,2010-04-11
798,295,8,0.46,35,2011-02-25
829,310,8,0.5,6,2010-04-08
904,337,8,0.21,120,2011-02-03
951,354,8,0.97,350,2011-02-15
957,355,8,0.8,120,2010-05-12
979,366,8,0.36,30,2011-02-16
1030,382,8,0.49,150,2011-03-09
1082,408,8,0.24,25,2011-02-23
1150,434,8,0.8,50,2010-04-15
1210,460,8,0.47,25,2011-02-02
1311,501,8,1.2,12,2010-04-11
1330,505,8,0.52,25,2011-02-17
7,1,10,0.4,10,2010-04-12
12,2,10,0.22,100,2011-02-09
41,8,10,0.33,150,2011-02-15
99,36,10,0.8,40,2011-02-02
107,40,10,0.72,65,2011-02-25
167,57,10,0.58,25,2011-02-17
174,65,10,0.26,25,2011-02-17
204,69,10,0.5,8,2010-02-26
213,69,10,0.51,40,2011-02-02
229,77,10,0.9,150,2010-04-09
238,81,10,0.42,25,2011-02-17
256,85,10,0.88,180,2011-02-02
282,96,10,1.29,40,2011-02-23
288,97,10,0.29,35,2011-02-16
329,105,10,0.46,45,2011-02-15
334,110,10,0.8,30,2011-02-05
347,113,10,0.4,35,2011-02-05
382,118,10,0.52,25,2011-02-15
419,145,10,1.01,25,2011-02-24
432,148,10,0.36,100,2011-02-02
514,174,10,0.7,5,2010-04-08
566,203,10,0.12,10,2011-02-15
598,207,10,0.46,45,2011-02-02
610,210,10,0.5,50,2011-03-22
617,213,10,0.17,15,2011-02-15
647,233,10,0.3,55,2011-02-05
663,247,10,0.16,15,2011-03-10
707,262,10,0.37,50,2011-02-03
717,266,10,0.65,120,2011-02-10
730,271,10,1.2,100,2011-02-03
738,271,10,0.75,50,2010-04-11
762,278,10,0.5,40,2011-03-02
800,295,10,0.46,10,2011-02-25
813,303,10,0.13,20,2011-02-24
831,310,10,0.5,5,2010-04-08
888,335,10,0.98,100,2011-02-02
898,337,10,0.21,280,2011-02-03
962,355,10,0.8,15,2010-05-12
974,360,10,0.29,25,2011-02-03
982,366,10,0.36,45,2011-02-16
997,371,10,0.28,25,2011-03-12
1016,381,10,0.97,90,2011-03-17
1023,382,10,0.49,30,2011-03-09
1044,390,10,1.8,5,2011-02-24
1051,396,10,0.82,50,2011-02-02
1058,401,10,0.5,35,2011-02-18
1066,404,10,0.55,45,2011-03-02
1073,405,10,0.55,20,2011-02-16
1084,408,10,0.24,50,2011-02-23
1132,429,10,0.5,45,2011-03-02
1145,434,10,0.8,20,2010-04-15
1151,434,10,0.95,50,2011-03-11
1177,447,10,0.57,50,2011-02-15
1258,486,10,0.59,25,2011-02-08
1296,496,10,0.88,45,2011-02-15
1304,497,10,0.88,40,2011-01-20
1315,501,10,1.2,15,2010-04-11
1323,501,10,1.55,70,2011-02-16
1331,505,10,0.52,50,2011-02-17
1343,509,10,0.28,15,2011-02-02
1347,511,10,0.73,40,2011-02-02
1393,536,10,0.49,25,2011-03-17
3,1,11,0.4,180,2011-02-02
5,1,11,0.4,180,2010-04-12
18,2,11,0.22,240,2011-02-09
21,3,11,0.13,290,2011-03-09
23,4,11,0.56,120,2011-02-24
30,5,11,0.44,180,2011-02-15
34,6,11,0.22,240,2011-02-07
42,8,11,0.33,300,2011-02-15
45,9,11,0.17,30,2011-02-07
50,11,11,0.44,180,2011-02-15
53,12,11,0.48,320,2011-02-15
61,23,11,0.5,60,2010-05-04
66,27,11,0.49,360,2011-02-15
80,29,11,1.97,600,2011-02-02
97,36,11,0.8,180,2011-02-02
102,37,11,0.38,240,2011-02-15
108,40,11,0.72,250,2011-02-25
111,43,11,0.31,230,2011-02-17
123,45,11,0.72,45,2010-04-18
146,49,11,0.89,57,2010-03-30
160,53,11,0.21,270,2011-03-04
168,57,11,0.58,180,2011-02-17
181,65,11,0.26,80,2011-02-17
182,65,11,0.5,30,2010-04-07
194,67,11,0.54,180,2011-02-03
196,67,11,0.5,15,2010-04-09
210,69,11,0.51,240,2011-02-02
214,69,11,0.5,150,2010-02-26
215,71,11,0.5,90,2010-04-09
231,77,11,0.9,90,2010-04-09
242,81,11,0.42,210,2011-02-17
247,83,11,0.25,360,2011-02-18
255,85,11,0.88,300,2011-02-02
265,89,11,0.43,240,2011-01-26
269,93,11,0.25,160,2011-03-04
275,94,11,0.28,120,2011-03-10
277,96,11,0.5,60,2010-05-04
279,96,11,1.29,125,2011-02-23
291,97,11,0.29,60,2011-02-16
296,98,11,0.52,70,2011-02-06
304,99,11,0.44,120,2011-02-07
312,101,11,0.39,120,2011-02-26
321,103,11,0.79,260,2010-03-23
328,105,11,0.46,130,2011-02-15
330,110,11,0.8,240,2011-02-05
336,111,11,0.72,240,2011-02-02
341,112,11,0.46,180,2011-02-15
350,113,11,0.4,180,2011-02-05
354,114,11,0.44,210,2011-02-03
355,114,11,0.5,30,2010-04-07
362,115,11,0.41,120,2011-02-17
383,118,11,0.52,120,2011-02-15
387,121,11,0.23,80,2011-02-21
390,122,11,0.72,205,2011-02-23
394,125,11,0.48,90,2011-03-20
401,134,11,0.72,132,2010-04-15
408,135,11,0.5,180,2011-02-03
416,145,11,1.01,400,2011-02-24
422,147,11,0.26,90,2011-02-03
431,148,11,0.36,120,2011-02-02
438,155,11,0.18,100,2011-02-15
449,160,11,0.29,120,2011-02-22
459,162,11,0.98,52,2010-04-13
475,165,11,0.34,140,2011-02-26
513,174,11,0.44,240,2011-02-03
517,174,11,0.7,70,2010-04-08
