id,id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
2,1,1,0.4,244,2010-04-12
6,1,1,0.4,180,2011-02-02
16,2,1,0.22,40,2011-02-09
19,3,1,0.13,80,2011-03-09
25,4,1,0.56,120,2011-02-24
32,5,1,0.44,125,2011-02-15
35,6,1,0.22,120,2011-02-07
40,8,1,0.33,120,2011-02-15
44,9,1,0.17,15,2011-02-07
49,11,1,0.44,120,2011-02-15
54,12,1,0.48,180,2011-02-15
64,23,1,0.5,22,2010-05-04
68,27,1,0.49,180,2011-02-15
72,29,1,0.8,339,2010-04-12
74,29,1,1.97,1100,2011-02-02
88,32,1,0.17,180,2011-02-03
94,36,1,0.8,200,2011-02-02
101,37,1,0.38,60,2011-02-15
104,40,1,0.72,180,2011-02-25
114,43,1,0.31,130,2011-02-17
119,45,1,0.72,53,2010-04-18
143,48,1,0.52,44,2010-04-01
150,49,1,0.89,104,2010-03-30
159,53,1,0.21,110,2011-03-04
164,57,1,0.58,120,2011-02-17
176,65,1,0.26,100,2011-02-17
178,65,1,0.5,287,2010-04-07
197,67,1,0.54,210,2011-02-03
199,67,1,0.5,161,2010-04-09
205,69,1,0.51,200,2011-02-02
212,69,1,0.5,179,2010-02-26
219,71,1,0.5,268,2010-04-09
230,77,1,0.9,66,2010-04-09
239,81,1,0.42,125,2011-02-17
249,83,1,0.25,210,2011-02-18
250,84,1,1.31,10,2010-02-10
258,85,1,0.88,205,2011-02-02
264,89,1,0.43,45,2011-01-26
270,93,1,0.25,90,2011-03-04
274,94,1,0.28,20,2011-03-10
278,96,1,1.29,320,2011-02-23
286,96,1,0.5,29,2010-05-04
290,97,1,0.29,70,2011-02-16
295,98,1,0.52,180,2011-02-06
305,99,1,0.44,180,2011-02-07
308,101,1,0.72,30,2010-04-27
311,101,1,0.39,130,2011-02-26
323,103,1,0.79,122,2010-03-23
327,105,1,0.46,120,2011-02-15
332,110,1,0.8,230,2011-02-05
338,111,1,0.72,270,2011-02-02
343,112,1,0.46,90,2011-02-15
348,113,1,0.4,170,2011-02-05
353,114,1,0.44,180,2011-02-03
359,114,1,0.5,348,2010-04-07
366,115,1,0.41,110,2011-02-17
376,117,1,0.92,246,2010-03-31
384,118,1,0.52,160,2011-02-15
386,121,1,0.23,80,2011-02-21
391,122,1,0.72,120,2011-02-23
404,134,1,0.72,70,2010-04-15
407,135,1,0.5,105,2011-02-03
417,145,1,1.01,210,2011-02-24
421,147,1,0.26,65,2011-02-03
428,148,1,0.36,180,2011-02-02
441,155,1,0.18,70,2011-02-15
444,160,1,0.29,120,2011-02-22
445,160,1,0.78,60,2010-04-29
453,162,1,0.98,37,2010-04-13
473,165,1,0.36,60,2010-04-29
474,165,1,0.34,120,2011-02-26
512,174,1,0.44,240,2011-02-03
518,174,1,0.7,147,2010-04-08
499,175,1,0.31,100,2011-02-15
501,175,1,0.44,60,2010-04-27
508,177,1,0.95,175,2011-02-25
522,181,1,0.47,80,2011-02-16
527,184,1,0.38,90,2011-02-19
541,188,1,0.24,70,2011-02-24
552,195,1,0.29,200,2011-02-03
556,198,1,0.43,130,2011-02-15
564,203,1,0.12,35,2011-02-15
572,204,1,0.96,62,2010-04-12
589,205,1,0.78,105,2010-03-30
593,206,1,0.43,45,2011-01-26
596,207,1,0.46,180,2011-02-02
602,208,1,1.02,250,2011-02-13
611,210,1,0.5,90,2011-03-22
613,213,1,0.17,45,2011-02-15
620,216,1,0.39,120,2011-02-15
630,219,1,0.26,120,2011-02-21
644,233,1,0.3,100,2011-02-05
650,233,1,0.5,44,2010-04-06
660,239,1,0.45,150,2011-02-25
666,247,1,0.16,80,2011-03-10
669,250,1,0.48,100,2011-02-15
679,254,1,0.98,76,2010-04-16
684,257,1,0.55,180,2011-02-03
691,259,1,0.5,13,2010-04-07
692,259,1,0.48,110,2011-02-25
700,261,1,0.38,90,2011-03-22
710,262,1,0.37,120,2011-02-03
712,263,1,0.49,80,2011-02-19
719,266,1,0.65,200,2011-02-10
720,270,1,0.37,210,2011-02-21
729,271,1,0.75,168,2010-04-11
734,271,1,1.2,456,2011-02-03
741,272,1,0.37,150,2011-02-21
747,273,1,0.97,500,2011-02-17
751,275,1,0.41,140,2011-02-17
757,277,1,0.9,101,2010-05-02
763,278,1,0.5,160,2011-03-02
767,279,1,0.2,30,2011-02-15
770,285,1,0.18,90,2011-02-04
777,286,1,0.62,200,2011-02-18
784,289,1,0.59,7,2010-04-12
787,291,1,0.35,40,2011-02-17
789,292,1,0.47,40,2011-02-05
799,295,1,0.46,120,2011-02-25
803,297,1,0.58,180,2011-02-18
810,301,1,0.1,20,2011-03-11
814,303,1,0.13,80,2011-02-24
820,304,1,0.22,100,2011-02-03
821,305,1,0.38,80,2011-02-22
827,310,1,0.5,19,2010-04-08
830,310,1,0.38,80,2011-02-16
837,311,1,0.43,110,2011-03-02
844,312,1,0.21,180,2011-02-17
846,315,1,0.43,210,2011-02-21
855,316,1,0.11,60,2011-03-02
856,317,1,0.75,340,2011-02-17
869,325,1,0.45,140,2011-02-23
875,326,1,0.81,60,2010-04-30
881,335,1,0.98,320,2011-02-02
892,335,1,0.5,220,2010-05-04
899,337,1,0.21,80,2011-02-03
906,339,1,0.23,12,2011-02-03
914,342,1,0.65,120,2011-03-17
919,347,1,0.33,70,2011-02-24
926,349,1,0.81,100,2011-02-15
