id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
40,5,0.72,110,25/02/2011
40,6,0.72,20,25/02/2011
43,11,0.31,230,17/02/2011
43,15,0.31,49.4,17/02/2011
43,5,0.31,140,17/02/2011
43,1,0.31,130,17/02/2011
44,1,,150,02/02/2011
44,5,,180,02/02/2011
44,15,,54,02/02/2011
44,6,,30,02/02/2011
45,1,0.72,53,18/04/2010
45,15,,154,02/02/2011
45,15,0.72,20.14,18/04/2010
45,2,0.72,5,18/04/2010
45,11,0.72,45,18/04/2010
45,16,,500,02/02/2011
45,1,,421,02/02/2011
45,5,,180,02/02/2011
45,6,0.72,2,18/04/2010
45,5,0.72,12,18/04/2010
45,6,,30,02/02/2011
47,11,,65,02/02/2011
47,15,,36,02/02/2011
47,6,,45,02/02/2011
47,5,,80,02/02/2011
47,1,,100,02/02/2011
48,1,,81,02/02/2011
48,6,0.52,3,01/04/2010
48,11,,350,02/02/2011
48,15,0.52,16.72,01/04/2010
48,6,,7,02/02/2011
48,16,,300,02/02/2011
48,15,,29,02/02/2011
48,5,0.52,25,01/04/2010
48,1,0.52,44,01/04/2010
49,15,0.89,39.52,30/03/2010
49,5,,40,02/02/2011
49,11,0.89,57,30/03/2010
49,11,,400,02/02/2011
49,5,0.89,20,30/03/2010
49,15,,108,02/02/2011
49,1,0.89,104,30/03/2010
49,1,,294,02/02/2011
49,6,0.89,4,30/03/2010
49,6,,70,02/02/2011
52,1,,790,02/02/2011
52,16,,1600,02/02/2011
52,6,,200,02/02/2011
52,15,,285,02/02/2011
52,5,,120,02/02/2011
53,1,0.21,110,04/03/2011
53,11,0.21,270,04/03/2011
53,5,0.21,140,04/03/2011
53,15,0.21,41.8,04/03/2011
57,6,0.58,5,17/02/2011
57,1,0.58,120,17/02/2011
57,5,0.58,60,17/02/2011
57,15,0.58,45.6,17/02/2011
57,10,0.58,25,17/02/2011
57,11,0.58,180,17/02/2011
62,5,,150,02/02/2011
62,15,,129,02/02/2011
62,6,,38,02/02/2011
62,4,,5,02/02/2011
62,1,,360,02/02/2011
65,10,0.26,25,17/02/2011
65,3,0.5,172.2,07/04/2010
65,1,0.26,100,17/02/2011
65,15,0.26,38,17/02/2011
65,1,0.5,287,07/04/2010
65,5,0.26,60,17/02/2011
65,15,0.5,109.6,07/04/2010
65,11,0.26,80,17/02/2011
65,11,0.5,30,07/04/2010
65,5,0.5,15,07/04/2010
66,11,,200,02/02/2011
66,15,,96,02/02/2011
66,1,,267,02/02/2011
66,5,,90,02/02/2011
66,6,,70,02/02/2011
67,8,0.54,70,03/02/2011
67,5,0.5,10,09/04/2010
67,15,0.54,79.8,03/02/2011
67,15,0.5,61.2,09/04/2010
67,16,0.54,90,03/02/2011
67,11,0.54,180,03/02/2011
67,5,0.54,120,03/02/2011
67,11,0.5,15,09/04/2010
67,1,0.54,210,03/02/2011
67,3,0.5,96.6,09/04/2010
67,1,0.5,161,09/04/2010
67,6,0.54,15,03/02/2011
67,2,0.54,20,03/02/2011
69,15,0.5,68,26/02/2010
69,3,0.5,107.4,26/02/2010
69,10,0.5,8,26/02/2010
69,1,0.51,200,02/02/2011
69,15,0.51,76,02/02/2011
69,5,0.5,40,26/02/2010
69,12,0.5,100,26/02/2010
69,5,0.51,120,02/02/2011
69,11,0.51,240,02/02/2011
69,6,0.51,10,02/02/2011
69,1,0.5,179,26/02/2010
69,10,0.51,40,02/02/2011
69,11,0.5,150,26/02/2010
71,11,0.5,90,09/04/2010
71,6,0.5,15,09/04/2010
71,15,0.5,101.8,09/04/2010
71,3,0.5,160.8,09/04/2010
71,1,0.5,268,09/04/2010
71,5,0.5,40,09/04/2010
74,1,,70,02/02/2011
74,6,,38,02/02/2011
74,5,,90,02/02/2011
74,11,,150,02/02/2011
74,15,,25,02/02/2011
77,15,0.9,24.1,09/04/2010
77,5,0.9,40,09/04/2010
77,8,0.9,6,09/04/2010
77,10,0.9,150,09/04/2010
77,1,0.9,66,09/04/2010
77,11,0.9,90,09/04/2010
77,3,0.9,39.6,09/04/2010
79,1,,77,02/02/2011
79,11,,15,02/02/2011
79,15,,28,02/02/2011
79,5,,8,02/02/2011
79,6,,10,02/02/2011
81,10,0.42,25,17/02/2011
81,1,0.42,125,17/02/2011
81,5,0.42,50,17/02/2011
81,15,0.42,47.5,17/02/2011
81,11,0.42,210,17/02/2011
81,6,0.42,5,17/02/2011
83,5,0.25,60,18/02/2011
83,6,0.25,30,18/02/2011
83,15,0.25,79.8,18/02/2011
83,11,0.25,360,18/02/2011
83,8,0.25,100,18/02/2011
83,1,0.25,210,18/02/2011
84,1,1.31,10,10/02/2010
84,6,1.31,10,10/02/2010
84,15,1.31,3.8,10/02/2010
84,5,1.31,30,10/02/2010
85,2,0.88,50,02/02/2011
85,11,0.88,300,02/02/2011
85,10,0.88,180,02/02/2011
85,15,0.88,77.9,02/02/2011
85,1,0.88,205,02/02/2011
85,6,0.88,60,02/02/2011
85,5,0.88,120,02/02/2011
89,15,0.43,17.1,26/01/2011
89,6,0.43,25,26/01/2011
89,5,0.43,120,26/01/2011
89,1,0.43,45,26/01/2011
89,11,0.43,240,26/01/2011
93,6,0.25,19,04/03/2011
93,5,0.25,70,04/03/2011
93,15,0.25,34.2,04/03/2011
93,11,0.25,160,04/03/2011
93,1,0.25,90,04/03/2011
94,15,0.28,7.6,10/03/2011
94,2,0.28,10,10/03/2011
94,5,0.28,30,10/03/2011
94,1,0.28,20,10/03/2011
94,11,0.28,120,10/03/2011
96,5,1.29,60,23/02/2011
96,11,0.5,60,04/05/2010
96,1,1.29,320,23/02/2011
96,11,1.29,125,23/02/2011
96,3,0.5,17.4,04/05/2010
96,15,0.5,11,04/05/2010
96,10,1.29,40,23/02/2011
96,6,0.5,10,04/05/2010
96,16,1.29,20,23/02/2011
96,5,0.5,30,04/05/2010
96,1,0.5,29,04/05/2010
96,15,1.29,121.6,23/02/2011
97,10,0.29,35,16/02/2011
97,16,0.29,10,16/02/2011
97,1,0.29,70,16/02/2011
97,11,0.29,60,16/02/2011
97,6,0.29,15,16/02/2011
97,5,0.29,30,16/02/2011
97,15,0.29,26.6,16/02/2011
98,1,0.52,180,06/02/2011
98,11,0.52,70,06/02/2011
98,5,0.52,70,06/02/2011
98,6,0.52,2,06/02/2011
98,15,0.52,68.4,06/02/2011
99,16,0.44,10,07/02/2011
99,5,0.44,60,07/02/2011
99,15,0.44,68.4,07/02/2011
99,6,0.44,15,07/02/2011
99,11,0.44,120,07/02/2011
99,1,0.44,180,07/02/2011
101,15,0.39,49.4,26/02/2011
101,6,0.39,50,26/02/2011
101,1,0.72,30,27/04/2010
101,6,0.72,20,27/04/2010
101,5,0.39,65,26/02/2011
101,1,0.39,130,26/02/2011
101,11,0.39,120,26/02/2011
101,15,0.72,11.4,27/04/2010
103,5,0.79,30,23/03/2010
103,15,,67,02/02/2011
103,2,0.79,7,23/03/2010
103,6,0.79,26,23/03/2010
103,11,,200,02/02/2011
103,6,,56,02/02/2011
103,15,0.79,46.36,23/03/2010
103,11,0.79,260,23/03/2010
103,1,,187,02/02/2011
103,1,0.79,122,23/03/2010
105,15,0.46,45.6,15/02/2011
105,5,0.46,95,15/02/2011
105,6,0.46,15,15/02/2011
105,1,0.46,120,15/02/2011
105,11,0.46,130,15/02/2011
105,10,0.46,45,15/02/2011
