id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
1,14,0.4,0,12/04/2010
1,3,0.4,180,12/04/2010
1,13,0.4,0,12/04/2010
1,16,0.4,0,12/04/2010
1,9,0.4,0,12/04/2010
1,3,0.4,180,02/02/2011
1,4,0.4,50,12/04/2010
1,2,0.4,0,12/04/2010
1,11,0.4,146.4,12/04/2010
1,4,0.4,60,02/02/2011
1,1,0.4,180,02/02/2011
1,6,0.4,0,12/04/2010
1,10,0.4,92.7,12/04/2010
1,5,0.4,10,02/02/2011
1,7,0.4,10,12/04/2010
1,15,0.4,0,12/04/2010
1,5,0.4,0,12/04/2010
1,8,0.4,0,12/04/2010
1,1,0.4,244,12/04/2010
2,1,0.22,40,09/02/2011
2,4,0.22,60,09/02/2011
2,14,0.22,150,09/02/2011
2,3,0.22,240,09/02/2011
2,7,0.22,100,09/02/2011
2,5,0.22,6,09/02/2011
3,4,0.13,200,09/03/2011
3,1,0.13,80,09/03/2011
3,3,0.13,290,09/03/2011
4,4,0.56,30,24/02/2011
4,3,0.56,120,24/02/2011
4,1,0.56,120,24/02/2011
5,4,0.44,60,15/02/2011
5,1,0.44,125,15/02/2011
5,5,0.44,10,15/02/2011
5,3,0.44,180,15/02/2011
5,2,0.44,20,15/02/2011
6,1,0.22,120,07/02/2011
6,8,0.22,10,07/02/2011
6,4,0.22,120,07/02/2011
6,3,0.22,240,07/02/2011
7,1,0.16,0,09/03/2011
8,1,0.33,120,15/02/2011
8,4,0.33,140,15/02/2011
8,3,0.33,300,15/02/2011
8,7,0.33,150,15/02/2011
9,1,0.17,15,07/02/2011
9,5,0.17,0,07/02/2011
9,3,0.17,30,07/02/2011
11,4,0.44,50,15/02/2011
11,1,0.44,120,15/02/2011
11,3,0.44,180,15/02/2011
11,5,0.44,15,15/02/2011
12,14,0.48,200,15/02/2011
12,1,0.48,180,15/02/2011
12,5,0.48,15,15/02/2011
12,3,0.48,320,15/02/2011
21,3,,15,02/02/2011
21,10,,28,02/02/2011
21,1,,77,02/02/2011
21,4,,8,02/02/2011
21,5,,10,02/02/2011
23,2,0.5,0,04/05/2010
23,4,0.5,23,04/05/2010
23,13,0.5,0,04/05/2010
23,14,0.5,0,04/05/2010
23,6,0.5,0,04/05/2010
23,5,0.5,0,04/05/2010
23,16,0.5,0,04/05/2010
23,11,0.5,13.2,04/05/2010
23,9,0.5,0,04/05/2010
23,10,0.5,8.4,04/05/2010
23,3,0.5,60,04/05/2010
23,1,0.5,22,04/05/2010
23,15,0.5,0,04/05/2010
23,8,0.5,0,04/05/2010
23,7,0.5,0,04/05/2010
27,4,0.49,120,15/02/2011
27,1,0.49,180,15/02/2011
27,3,0.49,360,15/02/2011
29,11,0.8,203.4,12/04/2010
29,1,0.8,339,12/04/2010
29,7,0.8,0,12/04/2010
29,13,0.8,0,12/04/2010
29,14,0.8,0,12/04/2010
29,5,0.8,100,12/04/2010
29,16,0.8,0,12/04/2010
29,8,0.8,0,12/04/2010
29,8,1.97,0,02/02/2011
29,10,0.8,128.8,12/04/2010
29,9,0.8,0,12/04/2010
29,4,0.8,20,12/04/2010
29,6,1.97,15,02/02/2011
29,15,0.8,0,12/04/2010
29,3,1.97,600,02/02/2011
29,6,0.8,0,12/04/2010
29,4,1.97,120,02/02/2011
29,5,1.97,250,02/02/2011
29,1,1.97,1100,02/02/2011
29,3,0.8,0,12/04/2010
29,2,1.97,120,02/02/2011
29,14,1.97,35,02/02/2011
29,2,0.8,0,12/04/2010
30,3,,55,02/02/2011
30,10,,182,02/02/2011
30,1,,506,02/02/2011
30,5,,40,02/02/2011
30,4,,105,02/02/2011
32,3,0.17,0,03/02/2011
32,4,0.17,20,03/02/2011
32,1,0.17,180,03/02/2011
32,5,0.17,6,03/02/2011
36,17,0.8,10,02/02/2011
36,3,0.8,180,02/02/2011
36,2,0.8,20,02/02/2011
36,4,0.8,60,02/02/2011
36,1,0.8,200,02/02/2011
36,5,0.8,40,02/02/2011
36,7,0.8,40,02/02/2011
37,3,0.38,240,15/02/2011
37,4,0.38,180,15/02/2011
37,1,0.38,60,15/02/2011
40,4,0.72,110,25/02/2011
40,1,0.72,180,25/02/2011
40,7,0.72,65,25/02/2011
40,3,0.72,250,25/02/2011
40,8,0.72,20,25/02/2011
40,5,0.72,20,25/02/2011
43,4,0.31,140,17/02/2011
43,1,0.31,130,17/02/2011
43,3,0.31,230,17/02/2011
44,1,,150,02/02/2011
44,10,,54,02/02/2011
44,5,,30,02/02/2011
44,4,,180,02/02/2011
45,3,0.72,45,18/04/2010
45,10,,154,02/02/2011
45,4,,180,02/02/2011
45,5,,30,02/02/2011
45,1,0.72,53,18/04/2010
45,1,,421,02/02/2011
45,4,0.72,12,18/04/2010
45,8,,500,02/02/2011
45,5,0.72,2,18/04/2010
45,2,0.72,5,18/04/2010
47,10,,36,02/02/2011
47,5,,45,02/02/2011
47,1,,100,02/02/2011
47,3,,65,02/02/2011
47,4,,80,02/02/2011
48,1,,81,02/02/2011
48,8,,300,02/02/2011
48,1,0.52,44,01/04/2010
48,5,0.52,3,01/04/2010
48,4,0.52,25,01/04/2010
48,3,,350,02/02/2011
48,10,,29,02/02/2011
48,5,,7,02/02/2011
49,5,,70,02/02/2011
49,1,,294,02/02/2011
49,3,,400,02/02/2011
49,4,,40,02/02/2011
49,4,0.89,20,30/03/2010
49,3,0.89,57,30/03/2010
49,5,0.89,4,30/03/2010
49,10,,108,02/02/2011
49,1,0.89,104,30/03/2010
52,4,,120,02/02/2011
52,10,,285,02/02/2011
52,8,,1600,02/02/2011
52,1,,790,02/02/2011
52,5,,200,02/02/2011
53,4,0.21,140,04/03/2011
53,1,0.21,110,04/03/2011
53,3,0.21,270,04/03/2011
57,1,0.58,120,17/02/2011
57,3,0.58,180,17/02/2011
57,5,0.58,5,17/02/2011
57,7,0.58,25,17/02/2011
57,4,0.58,60,17/02/2011
62,5,,38,02/02/2011
62,1,,360,02/02/2011
62,10,,129,02/02/2011
62,13,,5,02/02/2011
62,4,,150,02/02/2011
65,16,0.5,0,07/04/2010
65,10,0.5,109.6,07/04/2010
65,7,0.26,25,17/02/2011
65,3,0.5,30,07/04/2010
65,6,0.5,0,07/04/2010
65,13,0.5,0,07/04/2010
65,9,0.5,0,07/04/2010
65,11,0.5,172.2,07/04/2010
65,8,0.5,0,07/04/2010
65,4,0.26,60,17/02/2011
65,3,0.26,80,17/02/2011
65,4,0.5,15,07/04/2010
65,2,0.5,0,07/04/2010
65,1,0.5,287,07/04/2010
65,15,0.5,0,07/04/2010
65,14,0.5,0,07/04/2010
65,5,0.5,0,07/04/2010
65,7,0.5,0,07/04/2010
65,1,0.26,100,17/02/2011
66,3,,200,02/02/2011
66,4,,90,02/02/2011
66,5,,70,02/02/2011
66,10,,96,02/02/2011
66,1,,267,02/02/2011
67,6,0.5,0,09/04/2010
67,2,0.5,0,09/04/2010
67,5,0.54,15,03/02/2011
67,4,0.54,120,03/02/2011
67,5,0.5,0,09/04/2010
67,14,0.5,0,09/04/2010
67,4,0.5,10,09/04/2010
67,13,0.5,0,09/04/2010
67,14,0.54,70,03/02/2011
67,16,0.5,0,09/04/2010
67,3,0.54,180,03/02/2011
67,8,0.5,0,09/04/2010
67,3,0.5,15,09/04/2010
67,8,0.54,90,03/02/2011
67,2,0.54,20,03/02/2011
67,7,0.5,0,09/04/2010
67,9,0.5,0,09/04/2010
67,1,0.5,161,09/04/2010
67,11,0.5,96.6,09/04/2010
67,10,0.5,61.2,09/04/2010
67,15,0.5,0,09/04/2010
67,1,0.54,210,03/02/2011
69,5,0.51,10,02/02/2011
69,8,0.5,0,26/02/2010
69,16,0.5,0,26/02/2010
69,13,0.5,0,26/02/2010
69,6,0.5,0,26/02/2010
69,11,0.5,107.4,26/02/2010
69,15,0.5,100,26/02/2010
69,4,0.5,40,26/02/2010
69,9,0.5,0,26/02/2010
69,7,0.5,8,26/02/2010
69,5,0.5,0,26/02/2010
69,3,0.5,150,26/02/2010
69,2,0.5,0,26/02/2010
69,3,0.51,240,02/02/2011
69,14,0.5,0,26/02/2010
69,7,0.51,40,02/02/2011
69,10,0.5,68,26/02/2010
69,4,0.51,120,02/02/2011
69,1,0.5,179,26/02/2010
69,1,0.51,200,02/02/2011
71,13,0.5,0,09/04/2010
71,9,0.5,0,09/04/2010
71,3,0.5,90,09/04/2010
71,1,0.5,268,09/04/2010
71,11,0.5,160.8,09/04/2010
71,7,0.5,0,09/04/2010
71,5,0.5,15,09/04/2010
71,8,0.5,0,09/04/2010
71,2,0.5,0,09/04/2010
