"id","id_agricultor","ano_producao","id_certificacao"
1350,1,2012,1
1886,1,2013,1
1125,2,2012,1
1661,2,2013,1
1181,3,2012,1
1717,3,2013,1
1256,4,2012,1
1792,4,2013,1
1410,5,2012,1
1946,5,2013,1
1452,6,2012,1
1988,6,2013,1
1126,7,2012,1
1662,7,2013,1
1073,8,2012,1
1609,8,2013,1
1453,9,2012,1
1989,9,2013,1
1303,10,2012,1
1839,10,2013,1
1377,11,2012,1
1913,11,2013,1
1074,12,2012,1
1610,12,2013,1
1487,13,2012,1
1556,14,2012,1
2092,14,2013,1
1340,15,2012,1
1876,15,2013,1
1304,16,2012,1
1840,16,2013,1
1582,17,2012,1
2118,17,2013,1
1106,18,2012,1
1642,18,2013,1
1305,19,2012,1
1841,19,2013,1
1411,20,2012,1
1947,20,2013,1
1522,21,2012,1
2058,21,2013,1
1257,22,2012,1
1793,22,2013,1
1239,23,2012,1
1775,23,2013,1
1150,24,2012,1
1686,24,2013,1
1151,25,2012,1
1687,25,2013,1
1306,26,2012,1
1842,26,2013,1
1075,27,2012,1
1611,27,2013,1
1295,28,2012,1
1831,28,2013,1
1351,29,2012,1
1887,29,2013,1
1509,30,2012,1
2045,30,2013,1
1209,31,2012,1
1745,31,2013,1
1173,32,2012,1
1709,32,2013,1
1431,33,2012,1
1967,33,2013,1
1432,34,2012,1
1968,34,2013,1
1307,35,2012,1
1843,35,2013,1
1210,36,2012,1
1746,36,2013,1
1182,37,2012,1
1718,37,2013,1
1352,38,2012,1
1888,38,2013,1
1308,39,2012,1
1844,39,2013,1
1309,40,2012,1
1845,40,2013,1
1310,41,2012,1
1846,41,2013,1
1596,42,2012,1
2132,42,2013,1
1095,43,2012,1
1631,43,2013,1
1535,44,2012,1
2071,44,2013,1
1557,45,2012,1
2093,45,2013,1
1433,46,2012,1
1969,46,2013,1
1510,47,2012,1
2046,47,2013,1
1567,48,2012,1
2103,48,2013,1
1568,49,2012,1
2104,49,2013,1
1536,50,2012,1
2072,50,2013,1
1537,51,2012,1
2073,51,2013,1
1511,52,2012,1
2047,52,2013,1
1183,53,2012,1
1719,53,2013,1
1341,54,2012,1
1877,54,2013,1
1488,55,2012,1
2024,55,2013,1
1547,56,2012,1
2083,56,2013,1
1396,57,2012,1
1932,57,2013,1
1512,58,2012,1
2048,58,2013,1
1480,59,2012,1
2016,59,2013,1
1569,60,2012,1
2105,60,2013,1
1459,61,2012,1
1995,61,2013,1
1481,62,2012,1
2017,62,2013,1
1489,63,2012,1
2025,63,2013,1
1490,64,2012,1
2026,64,2013,1
1378,65,2012,1
1914,65,2013,1
1570,66,2012,1
2106,66,2013,1
1379,67,2012,1
1915,67,2013,1
1482,68,2012,1
2018,68,2013,1
1380,69,2012,1
1916,69,2013,1
1597,70,2012,1
2133,70,2013,1
1211,71,2012,1
1747,71,2013,1
1460,72,2012,1
1996,72,2013,1
1184,73,2012,1
1720,73,2013,1
1548,74,2012,1
2084,74,2013,1
1549,75,2012,1
2085,75,2013,1
1227,76,2012,1
1763,76,2013,1
1353,77,2012,1
1889,77,2013,1
1342,78,2012,1
1878,78,2013,1
1523,79,2012,1
2059,79,2013,1
1258,80,2012,1
1794,80,2013,1
1397,81,2012,1
1933,81,2013,1
1076,82,2012,1
1612,82,2013,1
1127,83,2012,1
1663,83,2013,1
1152,84,2012,1
1688,84,2013,1
1212,85,2012,1
1748,85,2013,1
1381,86,2012,1
1917,86,2013,1
1259,87,2012,1
1795,87,2013,1
1398,88,2012,1
1934,88,2013,1
1138,89,2012,1
1674,89,2013,1
1434,90,2012,1
1970,90,2013,1
1153,91,2012,1
1689,91,2013,1
1185,92,2012,1
1721,92,2013,1
1107,93,2012,1
1643,93,2013,1
1282,94,2012,1
1818,94,2013,1
1240,95,2012,1
1776,95,2013,1
1241,96,2012,1
1777,96,2013,1
1311,97,2012,1
1847,97,2013,1
1174,98,2012,1
1710,98,2013,1
1454,99,2012,1
1990,99,2013,1
1412,100,2012,1
1948,100,2013,1
1108,101,2012,1
1644,101,2013,1
1139,102,2012,1
1675,102,2013,1
1461,103,2012,1
1997,103,2013,1
1571,104,2012,1
2107,104,2013,1
1607,105,2012,1
2143,105,2013,1
1608,106,2012,1
2144,106,2013,1
1260,107,2012,1
1796,107,2013,1
1413,108,2012,1
1949,108,2013,1
1382,109,2012,1
1918,109,2013,1
1213,110,2012,1
1749,110,2013,1
1228,111,2012,1
1764,111,2013,1
1186,112,2012,1
1722,112,2013,1
1229,113,2012,1
1765,113,2013,1
1383,114,2012,1
1919,114,2013,1
1414,115,2012,1
1950,115,2013,1
1462,116,2012,1
1998,116,2013,1
1572,117,2012,1
2108,117,2013,1
1415,118,2012,1
1951,118,2013,1
1187,119,2012,1
1723,119,2013,1
1416,120,2012,1
1952,120,2013,1
1077,121,2012,1
1613,121,2013,1
1354,122,2012,1
1890,122,2013,1
1242,123,2012,1
1778,123,2013,1
1109,124,2012,1
1645,124,2013,1
1096,125,2012,1
1632,125,2013,1
1312,126,2012,1
1848,126,2013,1
1128,127,2012,1
1664,127,2013,1
1435,128,2012,1
1971,128,2013,1
1436,129,2012,1
1972,129,2013,1
1598,130,2012,1
2134,130,2013,1
1140,131,2012,1
1676,131,2013,1
1513,132,2012,1
2049,132,2013,1
1573,133,2012,1
2109,133,2013,1
1538,134,2012,1
2074,134,2013,1
1214,135,2012,1
1750,135,2013,1
1583,136,2012,1
2119,136,2013,1
1313,137,2012,1
1849,137,2013,1
1355,138,2012,1
1891,138,2013,1
1314,139,2012,1
1850,139,2013,1
1584,140,2012,1
2120,140,2013,1
1141,141,2012,1
1677,141,2013,1
1599,142,2012,1
2135,142,2013,1
1129,143,2012,1
1665,143,2013,1
1142,144,2012,1
1678,144,2013,1
1243,145,2012,1
1779,145,2013,1
1261,146,2012,1
1797,146,2013,1
1384,147,2012,1
1920,147,2013,1
1130,148,2012,1
1666,148,2013,1
1463,149,2012,1
1999,149,2013,1
1455,150,2012,1
1991,150,2013,1
1296,151,2012,1
1832,151,2013,1
1110,152,2012,1
1646,152,2013,1
1283,153,2012,1
1819,153,2013,1
1297,154,2012,1
1833,154,2013,1
1111,155,2012,1
1647,155,2013,1
1600,156,2012,1
2136,156,2013,1
1417,157,2012,1
1953,157,2013,1
1112,158,2012,1
1648,158,2013,1
1418,159,2012,1
1954,159,2013,1
1113,160,2012,1
1649,160,2013,1
1143,161,2012,1
1679,161,2013,1
1524,162,2012,1
2060,162,2013,1
1574,163,2012,1
2110,163,2013,1
1491,164,2012,1
2027,164,2013,1
1114,165,2012,1
1650,165,2013,1
1525,166,2012,1
2061,166,2013,1
1514,167,2012,1
2050,167,2013,1
1188,168,2012,1
1724,168,2013,1
1492,169,2012,1
2028,169,2013,1
1558,170,2012,1
2094,170,2013,1
1575,171,2012,1
2111,171,2013,1
1550,172,2012,1
2086,172,2013,1
1601,173,2012,1
2137,173,2013,1
1262,174,2012,1
1798,174,2013,1
1115,175,2012,1
1651,175,2013,1
1585,176,2012,1
2121,176,2013,1
1356,177,2012,1
1892,177,2013,1
1464,178,2012,1
2000,178,2013,1
1586,179,2012,1
2122,179,2013,1
1189,180,2012,1
1725,180,2013,1
1190,181,2012,1
1726,181,2013,1
1587,182,2012,1
2123,182,2013,1
1493,183,2012,1
2029,183,2013,1
1191,184,2012,1
1727,184,2013,1
1494,185,2012,1
2030,185,2013,1
1495,186,2012,1
2031,186,2013,1
1588,187,2012,1
2124,187,2013,1
1192,188,2012,1
1728,188,2013,1
1496,189,2012,1
2032,189,2013,1
1078,190,2012,1
1614,190,2013,1
1589,191,2012,1
2125,191,2013,1
1144,192,2012,1
1680,192,2013,1
1590,193,2012,1
2126,193,2013,1
1515,194,2012,1
