"id","id_atividade","id_regiao","quantidade","valor_unitario","area"
18,1,1,3.5,80,1.9
19,3,1,4,25,1.9
20,4,1,1,25,1.9
21,5,1,3,25,1.9
22,8,1,4,25,1.9
23,9,1,3,25,1.9
24,10,1,1,25,1.9
25,11,1,10,8,1.9
26,12,1,10,8,1.9
27,13,1,20,8,1.9
28,14,1,1,8,1.9
29,15,1,2,8,1.9
30,17,1,1,21,1.9
31,19,1,20,25,1.9
32,20,1,20,25,1.9
1,1,2,3.5,60,1.97
2,2,2,2.5,20,1.97
3,3,2,4.5,20,1.97
4,4,2,1,20,1.97
5,5,2,0,20,1.97
6,6,2,4,20,1.97
7,7,2,4,50,1.97
8,8,2,10,20,1.97
9,9,2,12,20,1.97
10,10,2,1,20,1.97
11,11,2,9.75,8,1.97
12,12,2,3,8,1.97
13,13,2,15,8,1.97
14,14,2,0.5,8,1.97
15,15,2,1,8,1.97
16,19,2,20,20,1.97
17,20,2,10,20,1.97
34,3,3,4,25,0.97
35,4,3,0,25,0.97
37,8,3,15,25,0.97
38,9,3,10,25,0.97
39,10,3,4,25,0.97
40,11,3,4.5,8,0.97
41,12,3,7,8,0.97
42,13,3,7,8,0.97
43,14,3,0.3,8,0.97
44,15,3,2,8,0.97
45,17,3,1,21,0.97
46,19,3,20,25,0.97
47,20,3,10,25,0.97
33,21,3,3,60,0.97
36,23,3,1,25,0.97
