"id","nome_cultura"
1,"Algodão Aroeira"
2,"Amendoim"
3,"Caroço"
4,"Fava"
5,"Feijão"
6,"Gergelim"
7,"Guandu"
8,"Jerimum"
9,"Mamona"
10,"Melancia"
11,"Milho"
12,"Milho Verde"
13,"Palma"
14,"Pepino"
15,"Pluma"
16,"Sorgo Forragem"
2750001,"Algodão Colorido"
