"id_atividade","id_regiao","quantidade","valor_unitario"
1,2,1.78,60
2,2,1.27,20
3,2,2.28,20
4,2,0.51,20
5,2,0,20
6,2,2.03,20
7,2,2.03,50
8,2,5.08,20
9,2,6.09,20
10,2,0.51,20
11,2,4.95,8
12,2,1.52,8
13,2,7.61,8
14,2,0.25,8
15,2,0.51,8
19,2,10.15,20
20,2,5.26,20
1,1,1.84,80
3,1,2.11,25
4,1,0.53,25
5,1,1.58,25
8,1,2.11,25
9,1,1.58,25
10,1,0.53,25
11,1,5.26,8
12,1,5.26,8
13,1,10.53,8
14,1,0.53,8
15,1,1.05,8
17,1,0.53,21
19,1,10.53,25
20,1,10.53,25
21,3,3.09,60
3,3,4.12,25
4,3,0,25
23,3,1.03,25
8,3,15.46,25
9,3,10.31,25
10,3,4.12,25
11,3,4.64,8
12,3,7.22,8
13,3,7.22,8
14,3,0.31,8
15,3,2.06,8
17,3,1.03,21
19,3,20.62,25
20,3,10.31,25
