id_cultura,id_regiao,valor
11,2,0.58
5,2,2.0
15,2,6.0
3,2,0.5
6,2,5.0
11,1,0.58
5,1,2.0
15,1,6.0
3,1,0.5
6,1,5.0
11,3,0.5
5,3,2.5
15,3,6.0
3,3,0.5
6,3,5.0
10,2,1.0
10,1,1.0
10,3,1.0
2,2,5.0
2,1,5.0
2,3,6.0
8,2,1.0
8,1,1.0
8,3,1.0
14,2,0.8
14,1,0.8
14,3,0.8
16,2,0.12
16,1,0.12
16,3,0.12
