cultura,id_regiao,valor
Milho,1,0.58
Feijao,1,2
Algodao,1,6
Caroco,1,0.5
Milho,2,0.58
Feijao,2,2
Algodao,2,6
Caroco,2,0.5
Milho,3,0.5
Feijao,3,2.5
Algodao,3,6
Caroco,3,5
