"id_agricultor","ano_producao","id_certificacao"
8,2010,2
12,2010,2
27,2010,2
82,2010,2
121,2010,2
190,2010,2
216,2010,2
219,2010,2
270,2010,2
272,2010,2
287,2010,2
297,2010,2
305,2010,2
312,2010,2
315,2010,2
317,2010,2
331,2010,2
442,2010,2
487,2010,2
523,2010,2
529,2010,2
534,2010,2
43,2010,2
125,2010,2
273,2010,2
275,2010,2
286,2010,2
330,2010,2
347,2010,2
354,2010,2
389,2010,2
451,2010,2
475,2010,2
18,2010,2
93,2010,2
101,2010,2
124,2010,2
152,2010,2
155,2010,2
158,2010,2
160,2010,2
165,2010,2
175,2010,2
211,2010,2
242,2010,2
316,2010,2
325,2010,2
326,2010,2
426,2010,2
463,2010,2
494,2010,2
498,2010,2
2,2010,2
7,2010,2
83,2010,2
127,2010,2
143,2010,2
148,2010,2
261,2010,2
337,2010,2
338,2010,2
378,2010,2
424,2010,2
489,2010,2
518,2010,2
89,2010,2
102,2010,2
131,2010,2
141,2010,2
144,2010,2
161,2010,2
192,2010,2
206,2010,2
214,2010,2
215,2010,2
352,2010,2
456,2010,2
24,2010,2
25,2010,2
84,2010,2
91,2010,2
200,2010,2
218,2010,2
222,2010,2
248,2010,2
260,2010,2
276,2010,2
298,2010,2
309,2010,2
343,2010,2
344,2010,2
348,2010,2
350,2010,2
367,2010,2
374,2010,2
385,2010,2
399,2010,2
431,2010,2
448,2010,2
507,2010,2
32,2010,2
98,2010,2
195,2010,2
304,2010,2
339,2010,2
376,2010,2
395,2010,2
402,2010,2
3,2010,2
37,2010,2
53,2010,2
73,2010,2
92,2010,2
112,2010,2
119,2010,2
168,2010,2
180,2010,2
181,2010,2
184,2010,2
188,2010,2
224,2010,2
250,2010,2
256,2010,2
257,2010,2
263,2010,2
369,2010,2
375,2010,2
379,2010,2
400,2010,2
455,2010,2
462,2010,2
464,2010,2
500,2010,2
516,2010,2
525,2010,2
285,2010,2
31,2010,2
36,2010,2
71,2010,2
85,2010,2
110,2010,2
135,2010,2
198,2010,2
207,2010,2
231,2010,2
233,2010,2
259,2010,2
266,2010,2
268,2010,2
288,2010,2
409,2010,2
425,2010,2
476,2010,2
484,2010,2
76,2010,2
111,2010,2
113,2010,2
262,2010,2
271,2010,2
283,2010,2
292,2010,2
398,2010,2
418,2010,2
486,2010,2
510,2010,2
521,2010,2
23,2010,2
95,2010,2
96,2010,2
123,2010,2
145,2010,2
203,2010,2
246,2010,2
277,2010,2
303,2010,2
335,2010,2
373,2010,2
390,2010,2
408,2010,2
438,2010,2
