id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
1,1,0.4,244,12/04/2010
1,1,0.4,120,02/02/2011
1,10,0.4,92.7,12/04/2010
1,11,0.4,146.4,12/04/2010
1,2,0.4,0,12/04/2010
1,3,0.4,180,12/04/2010
1,3,0.4,100,02/02/2011
1,4,0.4,50,12/04/2010
1,4,0.4,600,02/02/2011
1,12,0.4,0,12/04/2010
1,12,0.4,20,02/02/2011
1,6,0.4,0,12/04/2010
1,13,0.4,0,12/04/2010
1,7,0.4,10,12/04/2010
1,8,0.4,0,12/04/2010
1,9,0.4,0,12/04/2010
1,14,0.4,0,12/04/2010
1,15,0.4,0,12/04/2010
1,16,0.4,0,12/04/2010
2,1,0.22,40,09/02/2011
2,3,0.22,240,09/02/2011
2,4,0.22,60,09/02/2011
2,12,0.22,6,09/02/2011
2,7,0.22,100,09/02/2011
2,14,0.22,150,09/02/2011
3,1,0.13,80,09/03/2011
3,3,0.13,290,09/03/2011
3,4,0.13,200,09/03/2011
4,1,0.56,175,24/02/2011
4,3,0.56,140,24/02/2011
4,4,0.56,100,24/02/2011
4,12,0.56,50,24/02/2011
4,7,0.56,35,24/02/2011
5,1,0.44,125,15/02/2011
5,2,0.44,50,15/02/2011
5,3,0.44,100,15/02/2011
5,4,0.44,80,15/02/2011
5,12,0.44,20,15/02/2011
6,1,0.22,70,07/02/2011
6,3,0.22,60,07/02/2011
6,4,0.22,25,07/02/2011
6,8,0.22,10,07/02/2011
8,1,0.33,120,15/02/2011
8,3,0.33,300,15/02/2011
8,4,0.33,140,15/02/2011
8,7,0.33,150,15/02/2011
9,1,0.17,45,07/02/2011
9,3,0.17,30,07/02/2011
9,12,0.17,15,07/02/2011
11,1,0.44,140,15/02/2011
11,3,0.44,120,15/02/2011
11,4,0.44,90,15/02/2011
11,12,0.44,35,15/02/2011
12,1,0.48,180,15/02/2011
12,3,0.48,320,15/02/2011
12,12,0.48,15,15/02/2011
12,14,0.48,200,15/02/2011
14,1,0.76,0,10/04/2010
14,2,0.76,0,10/04/2010
14,3,0.76,0,10/04/2010
14,4,0.76,0,10/04/2010
14,5,0.76,0,10/04/2010
23,1,0.5,22,04/05/2010
23,10,0.5,8.4,04/05/2010
23,11,0.5,13.2,04/05/2010
23,2,0.5,0,04/05/2010
23,3,0.5,60,04/05/2010
23,4,0.5,23,04/05/2010
23,12,0.5,0,04/05/2010
23,6,0.5,0,04/05/2010
23,13,0.5,0,04/05/2010
23,7,0.5,0,04/05/2010
23,8,0.5,0,04/05/2010
23,9,0.5,0,04/05/2010
23,14,0.5,0,04/05/2010
23,15,0.5,0,04/05/2010
23,16,0.5,0,04/05/2010
27,1,0.49,180,15/02/2011
27,3,0.49,360,15/02/2011
27,4,0.49,120,15/02/2011
29,1,1.97,1100,02/02/2011
29,2,1.97,120,02/02/2011
29,3,1.97,350,02/02/2011
29,4,1.97,180,02/02/2011
29,12,1.97,150,02/02/2011
29,6,1.97,30,02/02/2011
29,8,1.97,150,02/02/2011
29,14,1.97,40,02/02/2011
29,1,0.8,339,12/04/2010
29,10,0.8,128.8,12/04/2010
29,11,0.8,203.4,12/04/2010
29,2,0.8,0,12/04/2010
29,3,0.8,0,12/04/2010
29,4,0.8,20,12/04/2010
29,12,0.8,100,12/04/2010
29,6,0.8,0,12/04/2010
29,13,0.8,0,12/04/2010
29,7,0.8,0,12/04/2010
29,8,0.8,0,12/04/2010
29,9,0.8,0,12/04/2010
29,14,0.8,0,12/04/2010
29,15,0.8,0,12/04/2010
29,16,0.8,0,12/04/2010
30,1,1.42,506,15/03/2011
30,2,1.42,182,15/03/2011
30,4,1.42,55,15/03/2011
30,5,1.42,105,15/03/2011
30,6,1.42,40,15/03/2011
32,1,0.17,180,03/02/2011
32,4,0.17,20,03/02/2011
32,12,0.17,6,03/02/2011
36,2,0.8,40,02/02/2011
36,17,0.8,10,02/02/2011
36,1,0.8,220,02/02/2011
36,7,0.8,80,02/02/2011
36,3,0.8,60,02/02/2011
36,12,0.8,100,02/02/2011
36,4,0.8,90,02/02/2011
37,3,0.38,240,15/02/2011
37,4,0.38,180,15/02/2011
37,1,0.38,60,15/02/2011
40,3,0.72,180,25/02/2011
40,4,0.72,120,25/02/2011
40,7,0.72,45,25/02/2011
40,12,0.72,60,25/02/2011
40,1,0.72,220,25/02/2011
40,8,0.72,40,25/02/2011
43,3,0.31,230,17/02/2011
43,1,0.31,130,17/02/2011
43,4,0.31,140,17/02/2011
44,5,0.72,0,15/04/2010
44,4,0.72,0,15/04/2010
44,3,0.72,0,15/04/2010
44,1,0.72,0,15/04/2010
44,2,0.72,0,15/04/2010
45,5,0.72,2,18/04/2010
45,3,0.72,45,18/04/2010
45,4,0.72,12,18/04/2010
45,1,0.72,53,18/04/2010
45,2,0.72,5,18/04/2010
48,2,0.91,29,25/02/2011
48,2,0.52,0,01/04/2010
48,5,0.52,3,01/04/2010
48,1,0.52,44,01/04/2010
48,1,0.91,81,25/02/2011
48,4,0.52,25,01/04/2010
48,4,0.91,350,25/02/2011
48,3,0.52,0,01/04/2010
