Regiao,Algodao.Aroeira.Rama,Amendoim,Fava,Feijao,Gergelim,Guandu,Jerimum,Melancia,Milho,Pepino,Sorgo.Forragem
Cariri,15560,1885,100,8960,2797,70,372,2030,12670,10,1030
Pajeu,8962,0,760,7585,553,660,350,753,14564,150,60
Apodi,13876,4972,8240,4167,2049,5,21,4770,150,0,0
